,Ticker,bounceback score,close,date,lowest price,num of weeks,open,volume
4050,MPV,4,11.5,20081017,8.05,1,8.25,122200
4051,CBD,4,26.75,20081226,8.69,1,27.96,847683
4052,CBD,4,29.93,20081031,22.18,1,21.91,1891906
4053,CBD,1,47.39,20110701,39.58,14,41.54,25952526
4054,CBD,0,24.12,20170908,20.7,111,23.02,2241127
4055,CBD,3,15.59,20151009,12.51,2,13.22,5191673
4056,CBD,2,12.28,20160304,9.55,5,10.54,7258191
4057,CBD,2,13.32,20160624,11.36,4,13.4,3169833
4058,CBD,2,16.55,20161230,14.14,4,16.23,2195449
4059,RAD,3,3.24,20080201,2.05,2,2.31,56436500
4060,RAD,3,3.24,20080201,2.05,2,2.31,56436500
4061,RAD,3,3.24,20080201,2.05,2,2.31,56436500
4062,RAD,2,0.38,20090320,0.28,7,0.25,17013400
4063,RAD,3,0.38,20090320,0.22,2,0.25,17013400
4064,RAD,3,1.04,20090515,0.88,3,0.9,53419800
4065,RAD,3,1.54,20091218,1.27,3,1.28,51816400
4066,RAD,3,1.54,20091218,1.27,3,1.28,51816400
4067,RAD,3,1.04,20110114,0.8832,2,0.9691,19348900
4068,RAD,3,1.09,20111021,0.93,2,1.03,36786300
4069,RAD,3,1.33,20111111,1.09,3,1.1,62205400
4070,RAD,0,1.7,20130201,1.41,38,1.55,59189600
4071,RAD,1,6.67,20140221,5.4,13,6.02,158405000
4072,RAD,0,7.41,20141226,6.22,17,6.85,78118103
4073,RAD,3,7.67,20161118,6.45,2,7.23,86350681
4074,RAD,2,2.63,20170915,2.22,4,2.5,134428555
4075,TK,4,8.73,20171020,1.74,1,8.98,2152675
4076,TK,0,27.35,20100423,22.77,81,25.89,2805900
